+------------------------+-------------------------------------------+------------------------------------------+
|       Имя схемы        |                Имя Таблицы                |                  Ошибки                  |
+------------------------+-------------------------------------------+------------------------------------------+
| cmarker_created.schema | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json |     'event' is not of type 'object'      |
| cmarker_created.schema | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json |      'data' is not of type 'object'      |
| cmarker_created.schema | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json |       'id' is not of type 'object'       |
| cmarker_created.schema | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json |     'event' is not of type 'object'      |
| cmarker_created.schema | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json |      'data' is not of type 'object'      |
| cmarker_created.schema | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | 297e4dc6-07d1-420d-a5ae-e4aff3aedc19.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | 29f0bfa7-bd51-4d45-93be-f6ead1ae0b96.json |               Файл пустой                |
| cmarker_created.schema | 2e8ffd3c-dbda-42df-9901-b7a30869511a.json |       'id' is not of type 'object'       |
| cmarker_created.schema | 2e8ffd3c-dbda-42df-9901-b7a30869511a.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | 2e8ffd3c-dbda-42df-9901-b7a30869511a.json |     'event' is not of type 'object'      |
| cmarker_created.schema | 2e8ffd3c-dbda-42df-9901-b7a30869511a.json |      'data' is not of type 'object'      |
| cmarker_created.schema | 2e8ffd3c-dbda-42df-9901-b7a30869511a.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | 2e8ffd3c-dbda-42df-9901-b7a30869511a.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | 3ade063d-d1b9-453f-85b4-dda7bfda4711.json |       'id' is not of type 'object'       |
| cmarker_created.schema | 3ade063d-d1b9-453f-85b4-dda7bfda4711.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | 3ade063d-d1b9-453f-85b4-dda7bfda4711.json |     'event' is not of type 'object'      |
| cmarker_created.schema | 3ade063d-d1b9-453f-85b4-dda7bfda4711.json |      'data' is not of type 'object'      |
| cmarker_created.schema | 3ade063d-d1b9-453f-85b4-dda7bfda4711.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | 3ade063d-d1b9-453f-85b4-dda7bfda4711.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | 3b4088ef-7521-4114-ac56-57c68632d431.json |       'id' is not of type 'object'       |
| cmarker_created.schema | 3b4088ef-7521-4114-ac56-57c68632d431.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | 3b4088ef-7521-4114-ac56-57c68632d431.json |     'event' is not of type 'object'      |
| cmarker_created.schema | 3b4088ef-7521-4114-ac56-57c68632d431.json |      'data' is not of type 'object'      |
| cmarker_created.schema | 3b4088ef-7521-4114-ac56-57c68632d431.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | 3b4088ef-7521-4114-ac56-57c68632d431.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | 6b1984e5-4092-4279-9dce-bdaa831c7932.json |       'id' is not of type 'object'       |
| cmarker_created.schema | 6b1984e5-4092-4279-9dce-bdaa831c7932.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | 6b1984e5-4092-4279-9dce-bdaa831c7932.json |     'event' is not of type 'object'      |
| cmarker_created.schema | 6b1984e5-4092-4279-9dce-bdaa831c7932.json |      'data' is not of type 'object'      |
| cmarker_created.schema | 6b1984e5-4092-4279-9dce-bdaa831c7932.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | 6b1984e5-4092-4279-9dce-bdaa831c7932.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | ba25151c-914f-4f47-909a-7a65a6339f34.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | ba25151c-914f-4f47-909a-7a65a6339f34.json |     'event' is not of type 'object'      |
| cmarker_created.schema | ba25151c-914f-4f47-909a-7a65a6339f34.json |      'data' is not of type 'object'      |
| cmarker_created.schema | ba25151c-914f-4f47-909a-7a65a6339f34.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | ba25151c-914f-4f47-909a-7a65a6339f34.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | bb998113-bc02-4cd1-9410-d9ae94f53eb0.json |       'id' is not of type 'object'       |
| cmarker_created.schema | bb998113-bc02-4cd1-9410-d9ae94f53eb0.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | bb998113-bc02-4cd1-9410-d9ae94f53eb0.json |     'event' is not of type 'object'      |
| cmarker_created.schema | bb998113-bc02-4cd1-9410-d9ae94f53eb0.json |      'data' is not of type 'object'      |
| cmarker_created.schema | bb998113-bc02-4cd1-9410-d9ae94f53eb0.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | bb998113-bc02-4cd1-9410-d9ae94f53eb0.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | c72d21cf-1152-4d8e-b649-e198149d5bbb.json |       'id' is not of type 'object'       |
| cmarker_created.schema | c72d21cf-1152-4d8e-b649-e198149d5bbb.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | c72d21cf-1152-4d8e-b649-e198149d5bbb.json |     'event' is not of type 'object'      |
| cmarker_created.schema | c72d21cf-1152-4d8e-b649-e198149d5bbb.json |      'data' is not of type 'object'      |
| cmarker_created.schema | c72d21cf-1152-4d8e-b649-e198149d5bbb.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | c72d21cf-1152-4d8e-b649-e198149d5bbb.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | cc07e442-7986-4714-8fc2-ac2256690a90.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | cc07e442-7986-4714-8fc2-ac2256690a90.json |     'event' is not of type 'object'      |
| cmarker_created.schema | cc07e442-7986-4714-8fc2-ac2256690a90.json |      'data' is not of type 'object'      |
| cmarker_created.schema | cc07e442-7986-4714-8fc2-ac2256690a90.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | cc07e442-7986-4714-8fc2-ac2256690a90.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | e2d760c3-7e10-4464-ab22-7fda6b5e2562.json |       'id' is not of type 'object'       |
| cmarker_created.schema | e2d760c3-7e10-4464-ab22-7fda6b5e2562.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | e2d760c3-7e10-4464-ab22-7fda6b5e2562.json |     'event' is not of type 'object'      |
| cmarker_created.schema | e2d760c3-7e10-4464-ab22-7fda6b5e2562.json |      'data' is not of type 'object'      |
| cmarker_created.schema | e2d760c3-7e10-4464-ab22-7fda6b5e2562.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | e2d760c3-7e10-4464-ab22-7fda6b5e2562.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | f5656ff6-29e1-46b0-8d8a-ff77f9cc0953.json |       'id' is not of type 'object'       |
| cmarker_created.schema | f5656ff6-29e1-46b0-8d8a-ff77f9cc0953.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | f5656ff6-29e1-46b0-8d8a-ff77f9cc0953.json |     'event' is not of type 'object'      |
| cmarker_created.schema | f5656ff6-29e1-46b0-8d8a-ff77f9cc0953.json |      'data' is not of type 'object'      |
| cmarker_created.schema | f5656ff6-29e1-46b0-8d8a-ff77f9cc0953.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | f5656ff6-29e1-46b0-8d8a-ff77f9cc0953.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | fb1a0854-9535-404d-9bdd-9ec0abb6cd6c.json |       'id' is not of type 'object'       |
| cmarker_created.schema | fb1a0854-9535-404d-9bdd-9ec0abb6cd6c.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | fb1a0854-9535-404d-9bdd-9ec0abb6cd6c.json |     'event' is not of type 'object'      |
| cmarker_created.schema | fb1a0854-9535-404d-9bdd-9ec0abb6cd6c.json |      'data' is not of type 'object'      |
| cmarker_created.schema | fb1a0854-9535-404d-9bdd-9ec0abb6cd6c.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | fb1a0854-9535-404d-9bdd-9ec0abb6cd6c.json | 'environment_id' is not of type 'object' |
| cmarker_created.schema | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json |       'id' is not of type 'object'       |
| cmarker_created.schema | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json |    'user_id' is not of type 'object'     |
| cmarker_created.schema | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json |     'event' is not of type 'object'      |
| cmarker_created.schema | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json |      'data' is not of type 'object'      |
| cmarker_created.schema | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json |   'created_at' is not of type 'object'   |
| cmarker_created.schema | ffe6b214-d543-40a8-8da3-deb0dc5bbd8c.json | 'environment_id' is not of type 'object' |
| label_selected.schema  | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json |     'event' is not of type 'object'      |
| label_selected.schema  | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json |      'data' is not of type 'object'      |
| label_selected.schema  | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json |   'created_at' is not of type 'object'   |
| label_selected.schema  | 1eba2aa1-2acf-460d-91e6-55a8c3e3b7a3.json | 'environment_id' is not of type 'object' |
